name,gender,meaning
Eashan,Male,Lord Vishnu
Edi,Male,Herb
Ednit,Male,Evolved
Eeshwar,Male,God
Eha,Male,Lord Vishnu
Ehimay,Male,All pervasive
Eka,Male,Lord Vishnu
Ekaaksh,Male,"one eyed, Shiva"
Ekaakshara,Male,A Name for Lord Ganesha
Ekaant,Male,soliltary
Ekaatmaa,Male,"oneself, alone"
Ekachakra,Male,son of Kashyapa
Ekadant,Male,Lord Ganesh
Ekagrah,Male,Focussed
Ekaksha,Male,Lord Shiva
Ekalavya,Male,a pupil of Dronaachaarya
Ekaling,Male,name of Lord Shiva
Ekambar,Male,sky
Ekana,Male,Lord Vishnu
Ekanath,Male,king
Ekanga,Male,bogyguard
Ekani,Male,One
Ekansh,Male,Whole
Ekapad,Male,Lord Shiva
Ekaraj,Male,Emperor
Ekavir,Male,Bravest of the brave
Ekavira,Male,Lord Shiva's daughter
Ekayavan,Male,The Wise One
Ekbal,Male,Dignity
Eklavya,Male,Student who learned Bow by watching
Eknath,Male,"Poet, saint"
Ekodar,Male,brother
Ekram,Male,honour
Esh,Male,God
Eshaan,Male,Desiring and wishing
Eshwar,Male,God
Eshwardutt,Male,gift of God
Etash,Male,Luminous
Ettan,Male,Breath
Evyavan,Male,Lord Vishnu
Phalgun,Male,name of a Hindi month
Phalak,Male,heaven
Phani,Male,Snake
Phanibhusan,Male,Lord Shiva
Phaninath,Male,lord of serpents
Phanindra,Male,king of gods
Phanindranath,Male,Lord Vishnu
Phanishwar,Male,king of serpents
Phoolendu,Male,full moon
Geet,Male,Song
Ghalib,Male,excellent
Ghanaanand,Male,happy like cloud
Ghanendra,Male,lord of clouds (Lord Indra )
Ghanshyam,Male,Lord Krishna
Girdhari,Male,Lord Krishna
Giri,Male,Mount
Giridhar,Male,One who holds mountain
Girijanandan,Male,son of Girija (Lord Ganesh)
Girik,Male,Lord Shiva
Girilal,Male,Son of mountain
Girindra,Male,Lord Shiva
Giriraj,Male,Lord of mountain
Girish,Male,God of mountain
Girivar,Male,Lord Krishna
Girvaan,Male,language of God
Gitashri,Male,Bhagavat Gita
Gobhil,Male,a Sanskrit scholar
Gogula,Male,Lord Krishna
Gokul,Male,a village near Mathura
Gopal,Male,"Krishna, cowherd"
Gopan,Male,Protection
Gopesh,Male,Lord Krishna
Gopi,Male,protector of cows (female
Gopichand,Male,name of a king
Gorakh,Male,cowherd
Gorakh-naath,Male,saint of Gorakh community
Goral,Male,Lovable
Goswamee,Male,master of cows
Govardhan,Male,name of a mountain in Gokul
Govind,Male,Cowherd
Govinda,Male,Lord Krishna
Grishm,Male,Heat
Gudakesha,Male,the archer Arjuna
Gul,Male,Flower
Gulab,Male,Rose
Gulal,Male,Colour red
Gulshan,Male,Garden of flowers
Gulzar,Male,gardener
Gulzarilal,Male,name of Lord Krishna
Guna,Male,Bestowed with Qualities
Gunaakar,Male,an ancient King
Gunagya,Male,Knower of Virtues
Gunaja,Male,Virtuous maiden
Gunamay,Male,Virtuous
